title,date,views,comments,author,price,likes,notes
"Загрузка и изменение фискальных операций с дозагрузкой фискальных признаков из файла Excel. УТ 11.5","2026-03-06","48","0","Enziger","1 стартмани","+1","Создает/изменяет записи регистра ""Фискальные операции"", дозагружает фискальный признак из внешнего Excel-файла."
"Загрузка кодов ТН ВЭД и ОКПД2 из Excel в КА 2.5 и ERP 2.5","2026-02-11","118","0","ksnik","1 стартмани","+2","Массовая загрузка и обновление ТН ВЭД, ОКПД2 и стран происхождения товаров в справочник ""Номенклатура""."
"Загрузка отчетов комиссионеров из Excel в Бухгалтерию предприятия 3","2026-02-11","102","0","ksnik","2 стартмани","+0","Загрузка отчетов маркетплейсов из Excel в документ ""Отчет комиссионера""."
"Выгрузка журнала регистрации в Excel с группировкой","2026-02-05","246","2","Alex_Smolensky","1 стартмани","+2","Выгрузка журнала регистрации в Excel с группировкой по дням и типу ошибок."
"Создание документа ""Индивидуальный график сменности"" по данным файла Excel","2026-02-04","263","1","vladimir-89","3 стартмани","+1","Автоматически создает документ графика сменности на основе Excel-таблицы."
"Загрузка из файла Excel остатков резервов по отпускам","2026-01-30","244","0","mchammer4","5 стартмани","+0","Загрузка данных о резервах и взносах сотрудника в документ ""Резервы по оплате труда""."
"Загрузка прайс-листов и установка цен номенклатуры – полная автоматизация из Excel в 1С (XLS/XLSX/ODS/CSV → тысячи позиций за минуты без дублей и ошибок ЕИ)","2026-01-13","423","10","war41k","1 стартмани","+1","Загружает прайсы, определяет колонки, создает номенклатуру и формирует документы установки цен."
"Загрузка начальных остатков по основным средствам из Excel + шаблон","2026-01-12","225","1","getmanqhy","2 стартмани","+0","Загрузка остатков по основным средствам и накопленной амортизации из Excel-шаблона."
"Массовое оформление продаж в 1С по выгрузкам Excel/CSV: автоподбор номенклатуры и партнёров, УТ11, КА2, ERP","2026-01-07","392","2","war41k","1 стартмани","+0","Загружает продажи из Excel/CSV и формирует документы реализации."
"Автоматическая загрузка прайс-листов из Excel/CSV в 1С с созданием номенклатуры и документа поступления","2026-01-06","466","3","war41k","1 стартмани","+0","Загружает прайсы, подбирает или создает номенклатуру и формирует документ поступления."
"Загрузка номенклатуры из Excel с автоматическим созданием групп, видов и производителей в 1С","2026-01-05","458","5","war41k","1 стартмани","+1","Загрузка номенклатуры из Excel с автосозданием групп и производителей."
"Загрузка из Excel в документ Инвентаризация. БП 3.0","2025-12-21","310","2","AlexHelmer","8 стартмани","+1","Загрузка данных из Excel в документ инвентаризации с поиском по штрихкоду."
"Сохранение в Еxcel стандартных бухгалтерских отчетов с полным наименованием. БГУ 2.0","2025-12-19","281","0","me_and_my_monkey","1 стартмани","+1","Добавляет сохранение отчетов в Excel с информативным именем файла."
"Загрузка списка товаров, выгруженного в Excel из личного кабинета Честного знака в 1С","2025-12-18","431","6","ya deva","1 стартмани","+2","Импортирует xlsx-файлы с номенклатурой из ЛК Честного знака."
"Программное создание документа Меню-требование. БГУ 2.0","2025-12-17","291","0","me_and_my_monkey","2 стартмани","+0","Создает документы меню-требования на основе Excel-файла."
"Автоматическая загрузка остатков из файла Excel в письме электронной почты","2025-12-12","384","0","igoSolo","2 стартмани","+0","Автоматизирует загрузку остатков из Excel-вложений почты."
"Загрузка поступлений из Excel в 1С:Розница 3.0","2025-12-03","502","2","DoReMu","2 стартмани","+0","Более удобная обработка загрузки поступлений, чем штатная."
"Загрузка контрагентов из Excel в 1С: Документооборот 3.0","2025-12-01","640","2","s_evgen","2 стартмани","+1","Загрузка контрагентов по шаблону Excel."
"Заполнение формул в файлах Excel (кроссплатформенное решение)","2025-10-30","3822","9","Abysswalker","бесплатно","+46","Заполнение формул в Excel без COM через DOM-подход, кроссплатформенно."
"Создание приходного и расходного кассового ордера из Excel. УТ 11.5","2025-10-20","4695","17","erni","1 стартмани","+9","Универсальный механизм для создания обработок загрузки данных из Excel в 1С."
"Прайс лист с возможностью сделать заказы","2025-10-17","1137","0","не указан","5500 руб.","+0","Excel-прайс для клиента с возможностью загрузки заказов обратно в 1С."
"Сбой на Wildberries: как автоматизировать создание УПД в формате XML из акта приемки (конвертируем Excel в XML)","2025-10-16","1231","4","GarriSoft","10 стартмани","+4","Решение для конвертации Excel-акта приемки Wildberries в XML УПД."
"Загрузка табеля из Excel в документ Табель","2025-09-24","1085","3","user631290_makerplus","2 стартмани","+3","Дополнительная обработка заполнения документа Табель из Excel."
"Выгрузка кодов маркировки с криптохвостом в файл *.csv","2025-09-16","1431","25","snayper1979","1 стартмани","+1","Выгрузка полных кодов маркировки с криптохвостом в CSV."
"Загрузка номенклатуры, штрихкодов, цен и документа Приобретение товаров и услуг в УТ 11.5 и КА 2.5 из файла Эксель","2025-09-10","681","1","не указан","14234 руб.","+1","Загрузка номенклатуры, штрихкодов, цен и документа приобретения из Excel."
"Загрузка лимитов номенклатуры из Excel","2025-09-10","807","2","user1651663","1 стартмани","+0","Массовая установка нижней и верхней границы остатков из Excel-шаблона."
